1	/pvc-podne-ploce-ili-gumeni-podovi-za-garazu/	https://www.antasline.com/pvc-podne-ploce-ili-gumeni-podovi/	0	enabled	url	1	0	0000-00-00 00:00:00
2	/podovi-za-terase/bergo-multisport/	https://www.antasline.com/bergo-multisport/	0	enabled	url	1	1049	2026-07-06 02:16:46
3	/vinil-podovi-za-komercijalne-i-javne-prostore/	/lvt-podovi-za-komercijalne-i-javne-prostore/	0	enabled	url	1	493	2026-07-18 22:20:15
4	/industrijski-podovi-kako-izabrati-industrijski-pod-koji-odgovara-vasim-zahtevima/	/kako-izabrati-pravi-industrijski-pod-koji-odgovara-vasim-poterbama/	0	enabled	url	1	162	2026-07-12 08:47:07
5	/podovi-za-kretanje-teskih-vozila-preko-zemlje-trave-peska/	/lako-montazni-podovi-za-kretanje-teskih-vozila-privremeni-podovi/	0	enabled	url	1	157	2026-03-06 17:34:47
6	/lako-montazni-podovi-za-kretanje-teskih-vozila-privremeni-podovi/	/montazni-podovi-za-kretanje-teskih-vozila-privremeni-podovi/	0	enabled	url	1	202	2026-03-06 17:34:48
7	/sportski-podovi-za-hale/	/sportski-podovi-za-sale-i-balone/	0	enabled	url	1	954	2026-07-15 16:58:42
8	/gumeni-podovi/	/gumeni-podovi-javne-objekte-i-teretane/	0	enabled	url	1	0	0000-00-00 00:00:00
9	/lvt-podovi-za-komercijalne-i-javne-prostore/vinil-podovi-objectflor-expona-commercial/	/lvt-podovi-za-komercijalne-i-javne-prostore/vinil-podovi-za-restorane-hotele-kafice-kancelarije-i-poslovne-prostore/	0	enabled	url	1	216	2026-07-05 07:11:05
10	/podovi-za-terase/	/podovi-za-terase-podovi-za-baste-podovi-za-splavove-podovi-za-bazene/	0	enabled	url	1	1776	2026-07-20 05:18:34
11	/lvt-podovi-za-komercijalne-i-javne-prostore/podovi-za-kancelarije-i-radnje/	/lvt-podovi-za-komercijalne-i-javne-prostore/podovi-za-kancelarije-i-radnje-vinil-podovi-podovi-za-komercijalne-objekte/	0	enabled	url	1	581	2026-07-08 01:18:59
12	/lvt-podovi-za-komercijalne-i-javne-prostore/podovi-za-kancelarije-i-radnje-vinil-podovi-podovi-za-komercijalne-objekte/	/lvt-podovi-za-komercijalne-i-javne-prostore/podovi-za-poslovni-prostor-i-radnje-vinil-podovi-podovi-za-komercijalne-objekte/	0	enabled	url	1	664	2026-07-21 10:28:38
13	/home/industrijski-podovi/podovi-za-radnje-i-prodavnice/	/home/industrijski-podovi/podovi-za-maloprodajne-objekte/	0	enabled	url	1	268	2026-07-09 03:58:50
14	/bergo-multisport/	https://www.antasline.com/sportski-podovi/	0	enabled	url	1	2239	2026-07-21 10:26:53
15	/sportski-podovi-podovi-za-3x3-podovi-za-rukomet-podovi-za-futsal/	/sportski-podovi/	0	enabled	url	1	1457	2026-07-18 22:20:10
16	/podovi-za-terase-podovi-za-baste-podovi-za-splavove-podovi-za-bazene/za-vlazne-prostore-bergo-soft/	/podovi-za-baste-splavove-bazene/	0	enabled	url	1	154	2026-07-10 06:32:17
17	/podovi-za-terase-podovi-za-baste-podovi-za-splavove-podovi-za-bazene/	/podovi-za-baste-splavove-bazene/	0	enabled	url	1	1623	2026-07-21 02:11:59
18	/podovi-za-baste-podovi-za-splavove-podovi-za-bazene/	/podovi-za-baste-splavove-bazene/	0	enabled	url	1	326	2026-07-10 06:19:28
19	/podovi-za-terase/za-vlazne-prostore-bergo-soft/	https://www.antasline.com/podovi-za-baste-splavove-bazene/podovi-za-bazene/	0	enabled	url	1	362	2026-06-16 11:16:19
20	/sportski-tereni/	https://www.antasline.com/sportski-podovi/	0	enabled	url	1	870	2026-07-02 04:30:45
21	/naslovna/industrijski-podovi/garaze-i-autoservisi/	https://www.antasline.com/home/industrijski-podovi/garaze-i-autoservisi/	0	enabled	url	1	2	2023-01-03 11:10:31
22	/podovi-za-terase/bergo-multisport/ispunjava-fiba-standard/	https://www.antasline.com/sportski-podovi/	0	enabled	url	1	0	0000-00-00 00:00:00
