url;sitemap;code;redir;h1;h1_texts;jsonld;jsonld_bad;jsonld_types;imgs;imgs_noalt;links_int;title;metadesc;bytes;time;notes
http://localhost/antasline/podne-ploce-podovi-za-kontejnere-i-montazne-objekte/;post-sitemap.xml;200;;1;"Podne obloge (podovi) za kontejnere i montažne objekte";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;167;"Podne obloge (podovi) za kontejnere i montažne objekte | Antas Line";"Podovi i podne ploce za kontejnere i montazne objekte. Jednostavna montaza i demontaza, veliki izbor boja i modela, dug vek trajanja";176730;0.78;
http://localhost/antasline/bergo-ultimate-i-ultimate-plus-nova-generacija-sportskih-podova/;post-sitemap.xml;200;;1;"Bergo ultimate i ultimate plus &#8211; Nova generacija sportskih podova";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;11;0;167;"Bergo Ultimate i Ultimate Plus | Antas Line";"BERGO ULTIMATE je podloga za sportske terene za sve vremenske prilike za većinu sportova. Novi fleksibilni sportski pod.";176982;1;
http://localhost/antasline/instalacija-i-ugradnja-esd-poda-istrazivacki-centar-quectel-beograd/;post-sitemap.xml;200;;1;"Montaza antistatik poda &#8211; Istrazivački centar Quectel, Beograd";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;8;0;164;"Montaža antistatik poda – Istraživački centar Quectel | Antas Line";"Montaza antistatik poda u plocama. Podloga se lako montira, ima dug vek trajanja i otporna je na kretanje viljuskara i kolica.";175360;0.69;
http://localhost/antasline/montazni-podovi-za-kretanje-teskih-vozila-privremeni-podovi/;post-sitemap.xml;200;;1;"Montažni podovi za velika opterećenja";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;166;"Montažni podovi za velika opterećenja";"Montažni podovi Bergo solid podovi se lako montiraju preko zemlje, trave, peska i omogućavaju lako kretanje vozila i ljudi.";176654;0.88;
http://localhost/antasline/ugradnje-industrijskog-poda/;post-sitemap.xml;200;;1;"O čemu treba voditi računa prilikom ugradnje industrijskog poda?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;7;0;163;"O čemu treba voditi računa prilikom ugradnje industrijskog poda? | Antas Line";"Ugradnja industrijskog poda preko betona, pločica, starog epoksida. Ecotile ima sigurno rešenje za stare i istrošene industrijske podove";178208;0.61;
http://localhost/antasline/zasto-vam-je-potreban-esd-pod/;post-sitemap.xml;200;;1;"Zašto vam je potreban ESD pod?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;169;"Zašto vam je potreban ESD pod? | Antas Line";"Cemu sluzi antistatik pod i kada je neophodno postaviti ga u prostoriji? Ecotile je razvio jednostavan i siguran sistem antistatik podova";184086;0.96;
http://localhost/antasline/pvc-podne-ploce-ili-gumeni-podovi/;post-sitemap.xml;200;;1;"PVC podne ploče ili Gumeni podovi?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;8;0;164;"PVC podne ploče ili Gumeni podovi? | Antas Line";"PVC podovi u plocama za radioni, magacine, hale, javne objekte. Laka montaza preko postojeci povrsina kao sto su plocice, laminat, beton ...";177640;0.72;
http://localhost/antasline/izbor-industrijskog-poda-tri-najcesca-pitanja/;post-sitemap.xml;200;;1;"Izbor industrijskog poda: Tri najčešća pitanja";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;166;"Izbor industrijskog poda: tri najčešća pitanja | Antas Line";"Kako izabrati industrijski pod? Vrste industrijskog poda i premena industrijskog poda.";178445;0.8;
http://localhost/antasline/kako-napraviti-teren-za-basket-ili-kosarkaski-teren/;post-sitemap.xml;200;;1;"Kako napraviti teren za basket ili košarkaški teren";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;64;0;222;"Kako napraviti teren za košarku ili basket? | Antas Line";"Kako napraviti teren za basket ili teren za košarku je večito pitanje od kad ste se upoznali sa košarkaškom loptom. Kratko uputstvo.";234498;2.28;
http://localhost/antasline/teren-za-basket-3x3/;post-sitemap.xml;200;;1;"Teren za basket (3&#215;3) &#8211; TC Galerija Dunk Shop";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;8;0;164;"Teren za basket (3x3) - TC Galerija Dunk Shop | Antas Line";"Teren za basket na TC Galerija. Podloga švedskog proizvodjaca Bergo flooring radjena po FIBA standarima u saradnji sa Dunk shop-om.";173645;0.78;
http://localhost/antasline/sta-postaviti-preko-starog-parketa-ili-plocica-2/;post-sitemap.xml;200;;1;"Šta postaviti preko starog parketa ili pločica?";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;16;0;170;"Šta postaviti preko starog parketa ili pločica? | AntasLine";"Podne obloge koje se postavljaju direktno preko starog parketa ili pločica, bez lepljenja i prašine — Objectflor Clic LVT, Ecotile i R-Tek. Pozovite 069 234 00 72.";184694;1.46;
http://localhost/antasline/epoksidni-podovi-ili-ecotile-podovi/;post-sitemap.xml;200;;1;"Epoksidni podovi ili PVC ploče (Ecotile): poređenje cene, montaže i trajnosti";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;15;0;176;"Epoksidni pod ili Ecotile PVC ploče? Cena po m² | Antas Line";"Epoksidni pod ili Ecotile PVC ploče: cena po m², vreme montaže i zastoj proizvodnje — direktno poređenje pre nego što odlučite. Pozovite 069 234 00 72.";194393;1.34;
http://localhost/antasline/teren-za-pickleball/;post-sitemap.xml;200;;1;"Teren za piklbol (pickleball)";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer,Product,Brand;12;0;167;"Teren za piklbol (pickleball) — dimenzije i sportska podloga";"Teren za piklbol: dimenzije 13,4×6,1 m, mreža 86 cm. Bergo Ultimate FLOV™ sportska podloga za teren. Ponuda: 069 234 00 72.";184395;1.17;
http://localhost/antasline/dimenzije-fudbalskog-terena/;post-sitemap.xml;200;;1;"Dimenzije fudbalskog terena";1;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;12;0;162;"Dimenzije fudbalskog terena — standard, gol, šesnaesterac | Antas Line";"Fudbalski teren: 90–120 × 45–90 m, međunarodni 100–110 × 64–75 m, standard 105×68 m. Gol 7,32×2,44 m, penal 11 m. Dimenzije za mali fudbal i futsal + izbor podloge.";182710;1.09;
http://localhost/antasline/podovi-za-radionice/;post-sitemap.xml;200;;1;"Podovi za radionice i garaže: kad tvoj auto zaslužuje bolje od običnog betona";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,Organization,ContactPoint,Action;12;0;168;"Podovi za radionice i garaže: kad tvoj auto zaslužuje bolje od običnog betona | Antas Line";"Pretvorite svoju garažu ili radionicu u profesionalan prostor! PVC i gumeni podovi Antas Line – postavljanje za samo 3–4 sata. Pozovite nas danas!";182520;1;
http://localhost/antasline/podloga-za-odbojkaske-terene/;post-sitemap.xml;200;;1;"Odbojkaški teren — dimenzije i podloga";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;14;0;174;"Dimenzije odbojkaškog terena, mreže i podloge";"Odbojkaški teren: 18×9 m, mreža 2,43/2,24 m, teren na pesku 16×8 m. Izbor podloge za salu i otvoreno + FAQ. Ponuda: 069 234 00 72.";185787;1.26;
