search_term;cluster;clicks;impressions;cost_rsd;conversions;flag_neg;flag_out_of_offer
topli pod cena;ostalo;8;81;175;0;1;1
gumene obloge za podove;gumeni-podovi;8;34;175;0;0;0
podovi za kancelarije;ostalo;8;44;175;0;0;0
gumena podloga za garazu;garaza-servis;8;30;175;0;0;0
industrijski podovi u kući;industrijski;9;24;173;0;0;0
pvc pod cena;pvc-plastika;8;45;172;0;0;0
epoksidni podovi za terase;epoksid-conquest;10;30;171;0;1;0
podloga za garaže;garaza-servis;8;27;171;0;0;0
podovi za terasu;terasa-balkon;10;44;169;0;0;0
gumene plocice za garazu;garaza-servis;8;35;163;0;0;1
drveni pod za terasu;terasa-balkon;5;8;162;0;0;1
gumene podloge za garazu;garaza-servis;7;30;158;0;0;0
epoksid podovi;epoksid-conquest;7;48;158;0;1;0
rinol industrijski podovi;konkurenti;8;37;157;0;1;0
ibotac podovi;konkurenti;9;49;156;0;1;0
deking za terasu;terasa-balkon;9;67;154;0;0;1
ploce za podove;ostalo;7;39;154;0;0;0
pod od epoksi smole;epoksid-conquest;7;72;154;0;1;0
tarkett pvc podovi;konkurenti;7;31;154;0;1;0
pvc podovi za garaže;garaza-servis;7;45;153;0;0;0
kompozitni podovi;ostalo;7;113;153;0;0;0
pvc obloge za pod;pvc-plastika;7;43;153;0;0;0
wpc deking cena;ostalo;1;6;152;0;0;1
industrijski laminat;industrijski;7;34;150;0;0;1
plastične pločice za pod;pvc-plastika;7;24;150;0;0;1
pvc podloge za terase;terasa-balkon;7;33;149;0;0;0
podne plocice za radionice;radionice;7;13;149;0;0;1
plastična podloga za pod;pvc-plastika;7;35;147;0;0;0
pvc podloga za pod;pvc-plastika;7;66;144;0;0;0
gumene ploce za garazu;garaza-servis;6;28;143;0;0;0
vinil za podove;lvt-vinil-parket;6;48;136;0;0;0
industrijski podovi cijena po m2;industrijski;5;35;135;0;0;0
pvc podovi novi sad;pvc-plastika;7;45;135;0;0;0
lvp podovi;ostalo;6;37;132;0;0;0
епоксидни подови;ostalo;6;15;132;0;0;0
epoksi podovi za garaze;epoksid-conquest;6;29;132;0;1;0
tecni podovi;ostalo;6;40;132;0;1;0
linoleum za garaze;garaza-servis;6;20;132;0;0;0
plasticne kocke za garazu;garaza-servis;6;27;132;0;0;0
podovi za poslovne prostore;ostalo;6;23;132;0;0;0
obloge za terasu;terasa-balkon;9;51;132;0;0;0
epoxy za podove;epoksid-conquest;6;30;132;0;1;0
garažni podovi;garaza-servis;7;38;131;0;0;0
pvc podovi beograd;pvc-plastika;6;26;131;0;0;0
podloge za radionice;radionice;6;23;131;0;0;0
epoksidni pod;epoksid-conquest;6;100;129;0;1;0
ikea deking;ostalo;4;12;127;0;0;1
plastificirani podovi;ostalo;6;29;125;0;0;0
podovi za kucu;ostalo;6;47;122;0;0;0
spoljasnje podne obloge;ostalo;6;13;120;0;0;0
pvc pod za radionice;radionice;3;8;116;0;0;0
pod od epoksidne smole;epoksid-conquest;6;37;116;0;1;0
podna obloga;ostalo;4;13;115;0;0;0
podloge za terase;terasa-balkon;7;26;114;0;0;0
plastične podne obloge;pvc-plastika;4;28;111;0;0;0
plasticne daske za terasu;terasa-balkon;2;3;111;0;0;0
ploce za garazu;garaza-servis;5;29;111;0;0;0
epoksidni podovi cena;epoksid-conquest;4;17;111;0;1;0
pvc za podove;pvc-plastika;5;36;110;0;0;0
epoxidni podovi cena;epoksid-conquest;5;44;110;0;1;0
epoksidne smole za podove;epoksid-conquest;5;14;110;0;1;0
guma za radionice;radionice;5;34;110;0;0;0
guma za podove cena;gumeni-podovi;5;19;110;0;0;0
pvc antistatik pod cena;antistatik-esd;5;22;109;0;0;0
gume za pod;ostalo;5;28;108;0;0;0
za terase podovi;terasa-balkon;6;9;106;0;0;0
podovi za restorane;ostalo;5;43;106;0;0;0
epoksidni podovi cena po m2;epoksid-conquest;4;27;105;0;1;0
lvt pod;lvt-vinil-parket;6;43;104;0;0;0
pvc podna obloga;pvc-plastika;5;25;104;0;0;0
obloge za terase;terasa-balkon;7;15;103;0;0;0
trava za terasu;fudbal-trava;5;20;102;0;0;0
pvc ploce za podove;pvc-plastika;5;23;102;0;0;0
uradi sam konjarnik;stale-konji;1;2;100;0;0;0
podloge za pod;ostalo;5;23;99;0;0;0
industrijski podovi za garaže;industrijski;8;37;99;0;0;0
podovi za kafice;ostalo;4;11;98;0;0;0
industrijski vinil podovi;industrijski;2;4;98;0;0;0
topli pod;ostalo;5;73;97;0;1;1
epoxy pod za garazu;epoksid-conquest;5;49;97;0;1;0
podloga za radionicu;radionice;4;7;96;0;0;0
podloge za terase i balkone;terasa-balkon;7;39;96;0;0;0
pvc daske za terasu;terasa-balkon;5;13;95;0;0;0
poliuretanski podovi za terase;epoksid-conquest;6;11;95;0;1;0
pod za garaže;garaza-servis;4;15;95;0;0;0
samolepljive podne obloge;ostalo;5;33;95;0;0;0
pvc podloge za pod;pvc-plastika;4;43;94;0;0;0
tarkett podovi;konkurenti;5;43;93;0;1;0
podloge za dvoriste;dvoriste-basta;6;18;91;0;0;0
cena epoksidnih podova;epoksid-conquest;4;43;91;1;1;0
plasticne podloge za podove;pvc-plastika;4;27;90;0;0;0
podne plocice za terasu;terasa-balkon;6;74;90;0;0;1
podne obloge pvc;pvc-plastika;5;25;89;0;0;0
podovi od epoksidne smole cena;epoksid-conquest;4;21;88;0;1;0
industrial pvc flooring;industrijski;6;20;88;0;1;0
epoksi pod;epoksid-conquest;4;66;88;0;1;0
podne obloge za garažu;garaza-servis;4;13;88;0;0;0
gumene obloge za pod;gumeni-podovi;4;9;88;0;0;0
kocke za garazu;garaza-servis;4;35;88;0;0;0
pvc za pod;pvc-plastika;4;33;88;0;0;0
vinili podovi;lvt-vinil-parket;4;27;88;0;0;0
