url;sitemap;code;redir;h1;h1_texts;jsonld;jsonld_bad;jsonld_types;imgs;imgs_noalt;links_int;title;metadesc;bytes;time;notes
http://localhost/antasline/aktuelnosti/;post-sitemap.xml;200;;1;Aktuelnosti;2;0;Place,PostalAddress,LocalBusiness,ImageObject,WebSite,BreadcrumbList,ListItem,CollectionPage;15;0;168;"Aktuelnosti | Antas Line";"Saveti i primeri o industrijskim, sportskim i spoljnim podovima: izbor podloge, dimenzije terena, ESD i antistatik montaže i izvedeni projekti Antas line.";174685;8.18;
http://localhost/antasline/epoksidni-podovi-ili-ecotile-podovi/;post-sitemap.xml;200;;1;"Epoksidni podovi ili PVC ploče (Ecotile): poređenje cene, montaže i trajnosti";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;15;0;164;"Epoksidni pod ili Ecotile PVC ploče? Cena po m² | Antas Line";"Epoksidni pod ili Ecotile PVC ploče: cena po m², vreme montaže i zastoj proizvodnje — direktno poređenje pre nego što odlučite. Pozovite 069 234 00 72.";190153;4.25;
http://localhost/antasline/podloga-za-teniske-terene/;post-sitemap.xml;200;;1;"Podloga za teniske terene";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;15;0;167;"Šljaka za teniski teren — cena i ostale podloge za tenis";"Šljaka: najpristupačnija podloga za tenis, zahteva održavanje. Poredimo sa travom, akrilom i Bergo pločama. Cena i ponuda: 069 234 00 72.";195510;3.56;
http://localhost/antasline/pop-tenis/;post-sitemap.xml;200;;1;"Padel tenis";3;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting,FAQPage,Question,Answer;9;0;155;"Padel teren — dimenzije, podloga i izgradnja";"Padel teren: dimenzije 20×10 m, staklene zidove, podloga (veštačka trava ili Bergo) i oprema. Izgradnja terena po meri — pozovite 069 234 00 72.";175450;4.31;
http://localhost/antasline/montaza-antistatik-poda-htec-nis/;post-sitemap.xml;200;;1;"Montaža antistatik poda — HTEC, Niš";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;7;0;151;"Montaža antistatik poda — HTEC, Niš | Antas Line";"Montaža Ecotile ESD antistatik poda kod HTEC-a u Nišu — zaštita elektronske opreme od elektrostatičkog pražnjenja, brza montaža bez lepka.";169175;2.21;
http://localhost/antasline/sportska-igralista/;post-sitemap.xml;200;;1;"Sportska igralista";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;153;"Sportska igrališta | Antas Line";"WISH je kampanja koju je pokrenuo Bergo sa ciljem da omogući atraktivna sportska igralista koji će privući mlade da se više bave sportom";172269;3.19;
http://localhost/antasline/podovi-za-detailing-radionice-i-servise/;post-sitemap.xml;200;;1;"Podovi za detailing radionice i servise";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;154;"Podovi za detailing radionice i servise | AntasLine";"Veliki izbor podnih ploča za detailing radionice i auto servise. Podovi za detailing radionice i servise od vinila i PVC.";172962;3.15;
http://localhost/antasline/zamena-parketa-u-sportskim-salama/;post-sitemap.xml;200;;1;"zamena parketa u sportskim salama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;8;0;152;"Zamena parketa u sportskim salama | Antas Line";"Zamena parketa u sportskim salama ili postavljanje podloge od polipropilena u plocama preko parketa ili betona";172356;2.71;
http://localhost/antasline/ftalati-stetnost-i-uticaj-na-ljudsko-zdravlje/;post-sitemap.xml;200;;1;"Ftalati – štetnost i uticaj na ljudsko zdravlje";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;9;0;152;"Ftalati – štetnost i uticaj na ljudsko zdravlje | Antas Line";"Ftalati su omekšivači iz PVC proizvoda koji deluju na endokrini i disajni sistem. Koje su grupe zabranjene u EU i Srbiji i zašto ih naši podovi nemaju.";176748;2.8;
http://localhost/antasline/koji-pod-postaviti-u-garazu/;post-sitemap.xml;200;;1;"Koji pod postaviti u garažu?";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;155;"Koji pod postaviti u garažu? Ecotile PVC ploče | AntasLine";"Podovi za garaze i servise se lako postavljaju preko betona, asfalta i plocica, imaju dug vek trajanja i trpe udarce i hemikalije.";189923;2.57;
http://localhost/antasline/osteceni-industrijski-pod/;post-sitemap.xml;200;;1;"Oštećeni industrijski pod u magacinima i halama";2;0;Place,PostalAddress,ImageObject,WebSite,BreadcrumbList,ListItem,WebPage,Person,BlogPosting;10;0;155;"Oštećeni industrijski pod u magacinima i halama | Antas Line";"Oštećeni indsutrijski pod u magacinima i halama može uticati na bezbednost i efikasnost u radu. Ecotile nudi jednostavno i dugotrajno rešenje.";193118;3.09;
